system,system_code,latency_s,touches,auto_checks,audit_score
ProofRail,1,0.001,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.001,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.001,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.081,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.08,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.081,0.0,6.0,12.0
ProofRail,1,0.082,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,,0.0,3.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.001,0.0,6.0,12.0
ProofRail,1,,1.0,1.0,11.0
ProofRail,1,0.001,0.0,6.0,12.0
ProofRail,1,0.071,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,,0.0,3.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.081,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.001,0.0,6.0,12.0
ProofRail,1,0.082,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.083,0.0,6.0,12.0
ProofRail,1,0.001,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.083,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,,0.0,3.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,,1.0,1.0,11.0
ProofRail,1,0.001,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.001,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.001,0.0,6.0,12.0
ProofRail,1,0.081,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.081,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.077,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.001,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
ProofRail,1,0.0,0.0,6.0,12.0
Bank,2,1312.3,2.0,1.0,8.0
Bank,2,1725.9,2.0,0.0,8.0
Bank,2,1097.4,2.0,1.0,8.0
Bank,2,2112.1,2.0,1.0,8.0
Bank,2,1582.2,2.0,0.0,8.0
Bank,2,3065.2,3.0,1.0,8.0
Bank,2,9656.7,5.0,1.0,8.0
Bank,2,9763.6,4.0,1.0,8.0
Bank,2,2263.6,3.0,1.0,8.0
Bank,2,3251.0,3.0,1.0,8.0
Bank,2,2919.0,3.0,1.0,8.0
Bank,2,2317.8,3.0,1.0,8.0
Bank,2,2147.8,3.0,1.0,8.0
Bank,2,2712.5,3.0,1.0,8.0
Bank,2,2907.5,3.0,1.0,8.0
Bank,2,3705.3,4.0,1.0,8.0
Bank,2,2859.5,3.0,1.0,8.0
Bank,2,2496.8,3.0,1.0,8.0
Bank,2,3650.4,3.0,1.0,8.0
Bank,2,5749.4,4.0,1.0,8.0
Bank,2,3969.1,4.0,1.0,8.0
Bank,2,3102.5,3.0,1.0,8.0
Bank,2,3550.5,3.0,1.0,8.0
Bank,2,3425.6,3.0,1.0,8.0
Bank,2,2683.5,3.0,1.0,8.0
Bank,2,2202.9,3.0,1.0,8.0
Bank,2,4370.1,4.0,1.0,8.0
Bank,2,2145.0,3.0,1.0,8.0
Bank,2,3592.9,3.0,1.0,8.0
Bank,2,2214.3,3.0,1.0,8.0
Bank,2,2479.8,3.0,1.0,8.0
Bank,2,3171.1,3.0,1.0,8.0
Bank,2,3413.9,3.0,1.0,8.0
Bank,2,3294.1,3.0,1.0,8.0
Bank,2,3767.5,3.0,1.0,8.0
Bank,2,5080.1,4.0,1.0,8.0
Bank,2,3623.0,3.0,1.0,8.0
Bank,2,2882.6,3.0,1.0,8.0
Bank,2,2875.9,3.0,1.0,8.0
